Град,Област,lat,lng,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
гр. АЙТОС,БУРГАС,42.7030193,27.2546865,89,32,25,11,11,17,14,13,19,33,25,30,26,62,64,58,28,37,33
гр. АКСАКОВО,ВАРНА,43.2590,27.8179,1,4,4,1,1,0,0,2,1,4,3,4,0,16,30,25,14,14,20
гр. АЛФАТАР,СИЛИСТРА,43.9464572,27.2853521,11,1,2,1,0,0,1,1,2,0,0,2,5,5,2,5,3,4,2
гр. АНТОНОВО,ТЪРГОВИЩЕ,43.1510376,26.1636355,11,1,1,1,1,2,1,1,0,1,1,1,2,1,2,1,0,2,0
гр. АПРИЛЦИ,ЛОВЕЧ,42.8404476,24.9189665,27,4,5,2,0,4,5,6,6,7,4,6,7,12,13,15,4,5,5
гр. АРДИНО,КЪРДЖАЛИ,41.583683,25.1335602,7,2,1,3,0,3,1,3,6,6,5,3,3,14,5,4,7,4,5
гр. АСЕНОВГРАД,ПЛОВДИВ,42.006788,24.87605,248,115,73,40,52,38,48,46,67,125,77,67,85,194,179,167,132,106,103
гр. АХТОПОЛ,БУРГАС,42.0994777,27.9394498,5,0,0,0,1,0,0,1,1,1,3,1,3,7,3,3,6,2,3
гр. БАЛЧИК,ДОБРИЧ,43.425692,28.1625179,66,23,17,11,11,11,11,14,18,40,25,17,27,61,57,43,30,21,17
гр. БАНКЯ,СОФИЯ-ГРАД,42.7062163,23.1480449,6,4,3,2,5,1,2,3,3,5,9,14,22,46,37,39,31,32,29
гр. БАНСКО,БЛАГОЕВГРАД,41.8380219,23.4890277,36,11,4,5,5,18,7,11,16,38,38,40,41,78,63,61,51,42,36
гр. БАНЯ,ПЛОВДИВ,42.5954047,25.2093708,16,2,2,2,0,2,1,1,2,8,2,5,3,7,3,4,2,2,2
гр. БАТАК,ПАЗАРДЖИК,41.9420781,24.217068,33,17,4,1,2,2,2,6,8,11,10,4,6,15,7,14,8,4,7
гр. БАТАНОВЦИ,ПЕРНИК,42.5979896,22.9556695,10,2,3,1,1,1,0,0,0,0,1,1,2,1,4,6,3,1,3
