Месец,Брой регистрирани
199501,2016
199502,1980
199503,1911
199504,1661
199505,1836
199506,1711
199507,1689
199508,1519
199509,1439
199510,1666
199511,1587
199512,1196
199601,1712
199602,1558
199603,1477
199604,1448
199605,1200
199606,954
199607,929
199608,709
199609,700
199610,855
199611,824
199612,664
199701,1029
199702,862
199703,1050
199704,1072
199705,1119
199706,1228
199707,218
199708,156
199709,226
199710,328
199711,314
199712,523
199801,441
199802,429
199803,580
199804,742
199805,674
199806,662
199807,681
199808,592
199809,545
199810,618
199811,699
199812,745
199901,1120
199902,600
199903,718
199904,694
199905,669
199906,625
199907,701
199908,622
199909,551
199910,577
199911,603
199912,715
200001,1009
200002,671
200003,793
200004,737
200005,702
200006,782
200007,704
200008,641
200009,650
200010,742
200011,754
200012,783
200101,1056
200102,789
200103,767
200104,722
200105,766
200106,782
200107,796
200108,711
200109,610
200110,672
200111,753
200112,801
200201,1307
200202,955
200203,1005
200204,975
200205,928
200206,888
200207,844
200208,837
200209,787
200210,936
200211,966
200212,1220
200301,8900
200302,1142
200303,854
200304,974
200305,900
200306,991
200307,1013
200308,999
200309,1032
200310,1111
200311,1081
200312,1139
200401,1675
200402,1028
200403,1100
200404,1028
200405,963
200406,1075
200407,1102
200408,1126
200409,1094
200410,1097
200411,1120
200412,1236
200501,1659
200502,1062
200503,1014
200504,1109
200505,1219
200506,1266
200507,1264
200508,1257
200509,1082
200510,1202
200511,1289
200512,1307
200601,1525
200602,1156
200603,1002
200604,1721
200605,1785
200606,1638
200607,1545
200608,1450
200609,1337
200610,1459
200611,1518
200612,1642
200701,3735
200702,3358
200703,3277
200704,2800
200705,3149
200706,3034
200707,2923
200708,2700
200709,2160
200710,2994
200711,3044
200712,2731
200801,2528
200802,2628
200803,2266
200804,2448
200805,1908
200806,2310
200807,2874
200808,2421
200809,2711
200810,3183
200811,2583
200812,2601
200901,5219
200902,2988
200903,2036
200904,1916
200905,1535
200906,1890
200907,1596
200908,1736
200909,1594
200910,1593
200911,1661
200912,2070
201001,2028
201002,2246
201003,2515
201004,2794
201005,1831
201006,1796
201007,1594
201008,1458
201009,1623
201010,1676
201011,1637
201012,1601
201101,1391
201102,1566
201103,1963
201104,1854
201105,1712
201106,1790
201107,1730
201108,1860
201109,1649
201110,1862
201111,1865
201112,1918
201201,1480
201202,1835
201203,2019
201204,1931
201205,2090
201206,1964
201207,1935
201208,2003
201209,1743
201210,1576
